id,公司名稱,縣市,行政區,里別,行政區平日夜間停留人數,行政區平日日間活動人數,行政區假日夜間停留人數,行政區假日日間活動人數,里人均收入中位數,里人口數,發票張數指標,發票銷售額指標,500公尺內的熱鬧據點數,最近的熱鬧據點類型,最近的熱鬧據點距離,500公尺內部競爭(同公司店數),500公尺外部競爭(不同公司店數),租金,競爭壓力指標,生存難度,競爭優勢,是否便利商店,people_per_store,day_night_flow,登記現況
1544,統一超商股份有限公司,新北市,永和區,民族里,225926,165003,225638,209626,617,4753,60.5,71.5,2.0,學校,174.85590670350578,14.0,26.0,23978.0,0.005469078670593185,623428.0,0.5185185185185185,1,115.92682926829268,0.7303376754438381,廢止
4513,統一超商股份有限公司,臺北市,士林區,福順里,257735,256224,254274,263454,480,5119,53.0,60.5,1.0,學校,491.8112865279632,6.0,11.0,24878.0,0.0021484375,273658.0,0.5,1,284.3888888888889,0.9941335319862185,廢止
4600,統一超商股份有限公司,臺北市,大同區,星明里,121355,140077,120837,128687,667,5666,87.5,94.0,7.0,學校,199.3499932316936,14.0,26.0,23084.0,0.004587965413799188,600184.0,0.5185185185185185,1,138.1951219512195,1.1542651372820463,營運中
1361,統一超商股份有限公司,新北市,中和區,福南里,461867,397325,460394,432783,456,4082,19.0,18.0,4.0,學校,305.7461442069816,6.0,22.0,19555.0,0.005388194954690179,430210.0,0.2608695652173913,1,140.75862068965517,0.8602566101137121,營運中
2807,來來超商股份有限公司,新北市,淡水區,民安里,235495,196325,234249,221071,407,659,15.0,4.0,2.0,學校,462.9295448474552,3.0,12.0,13500.0,0.01818181818181818,162000.0,0.23076923076923078,1,41.1875,0.8336659646023712,廢止
4569,全家便利商店股份有限公司,臺北市,士林區,蘭雅里,257735,256224,254274,263454,723,8442,90.0,93.0,3.0,學校,341.9505724311089,10.0,33.0,51550.0,0.00390856330688144,1701150.0,0.29411764705882354,1,191.86363636363637,0.9941335319862185,廢止
4001,統一超商股份有限公司,新北市,樹林區,樹人里,186549,176578,187333,179473,457,3238,34.5,45.0,4.0,學校,143.7426665451347,8.0,9.0,18814.0,0.002778635381290522,169326.0,0.8,1,179.88888888888889,0.9465451621549182,營運中
6534,全家便利商店股份有限公司,臺北市,北投區,長安里,231633,233324,227647,226700,555,5871,67.0,69.5,9.0,醫院,158.19955795721526,3.0,20.0,16969.0,0.0034059945504087193,339380.0,0.14285714285714285,1,244.625,1.0072959928162533,營運中
2340,全聯實業股份有限公司,新北市,板橋區,景星里,571963,464101,570948,541426,540,3649,90.0,94.0,5.0,學校,204.0100131114769,1.0,43.0,30379.0,0.011780821917808219,1306297.0,0.022727272727272728,0,81.08888888888889,0.8114164527837416,營運中
812,統一超商股份有限公司,新北市,土城區,青雲里,237243,206153,237555,223005,557,4060,95.0,80.0,3.0,醫院,276.9318329716969,9.0,17.0,26021.0,0.004186161044077813,442357.0,0.5,1,150.37037037037038,0.8689492674208832,營運中
4949,全家便利商店股份有限公司,臺北市,大安區,永康里,293863,421212,288073,332468,883,3679,93.0,93.0,2.0,學校,229.61319249722612,4.0,22.0,59574.0,0.005978260869565218,1310628.0,0.17391304347826086,1,136.25925925925927,1.4333569270138566,營運中
821,全聯實業股份有限公司,新北市,土城區,樂利里,237243,206153,237555,223005,494,4831,61.5,78.5,5.0,捷運站,267.9122586356839,1.0,47.0,19252.0,0.00972682119205298,904844.0,0.020833333333333332,0,98.59183673469387,0.8689492674208832,營運中
7374,統一超商股份有限公司,臺北市,萬華區,青山里,196850,169804,196291,185594,511,5640,93.5,95.5,4.0,捷運站,124.30485227028882,15.0,23.0,21569.0,0.00407729126041482,496087.0,0.625,1,144.6153846153846,0.8626016631868774,廢止
4628,萊爾富國際股份有限公司,臺北市,大同區,永樂里,121355,140077,120837,128687,629,4838,91.5,87.5,2.0,醫院,320.74459964633826,2.0,18.0,46037.0,0.0037197768133911966,828666.0,0.10526315789473684,1,230.38095238095238,1.1542651372820463,營運中
2847,台灣屈臣氏個人用品商店股份有限公司,新北市,淡水區,北新里,235495,196325,234249,221071,495,3354,48.5,67.0,1.0,學校,246.42297194976516,0.0,34.0,9359.0,0.010134128166915052,318206.0,0.0,0,95.82857142857142,0.8336659646023712,營運中
4316,統一超商股份有限公司,臺北市,士林區,仁勇里,257735,256224,254274,263454,534,3550,74.5,86.5,3.0,捷運站,222.9482265505616,13.0,20.0,60693.0,0.005632216277105041,1213860.0,0.6190476190476191,1,104.41176470588235,0.9941335319862185,營運中
517,統一超商股份有限公司,新北市,三重區,清和里,425020,346194,423029,390770,573,4201,50.5,54.0,1.0,捷運站,244.1303070339923,7.0,17.0,17818.0,0.00404569252736792,302906.0,0.3888888888888889,1,168.04,0.8145338700911249,營運中
4916,統一超商股份有限公司,臺北市,大安區,建倫里,293863,421212,288073,332468,963,5801,94.5,96.5,5.0,醫院,123.85943910895536,23.0,40.0,92467.0,0.006894174422612892,3698680.0,0.5609756097560976,1,90.640625,1.4333569270138566,營運中
1022,統一超商股份有限公司,新北市,中和區,福祥里,461867,397325,460394,432783,469,4889,83.5,84.0,2.0,醫院,266.8033741200288,11.0,29.0,19740.0,0.005930470347648262,572460.0,0.36666666666666664,1,119.2439024390244,0.8602566101137121,營運中
7489,全聯實業股份有限公司,臺北市,萬華區,保德里,196850,169804,196291,185594,512,3003,71.0,57.5,3.0,學校,126.03397500462152,1.0,29.0,20317.0,0.009653794940079893,589193.0,0.03333333333333333,0,96.87096774193549,0.8626016631868774,營運中
2937,統一超商股份有限公司,新北市,淡水區,北投里,235495,196325,234249,221071,633,12642,5.0,21.5,2.0,學校,490.3893250623416,3.0,10.0,19297.0,0.0007909515146721506,192970.0,0.2727272727272727,1,903.0,0.8336659646023712,營運中
2771,全家便利商店股份有限公司,新北市,淡水區,水碓里,235495,196325,234249,221071,450,5903,22.0,22.5,3.0,學校,353.4927371933662,11.0,22.0,13177.0,0.0037262872628726286,289894.0,0.4782608695652174,1,173.61764705882354,0.8336659646023712,營運中
1120,統一超商股份有限公司,新北市,中和區,平河里,461867,397325,460394,432783,512,9569,97.0,97.5,0.0,學校,540.3332901362141,20.0,26.0,31711.0,0.002716823406478579,824486.0,0.7407407407407407,1,203.59574468085106,0.8602566101137121,營運中
4636,統一生活事業股份有限公司,臺北市,大同區,大有里,121355,140077,120837,128687,581,4214,93.5,84.5,4.0,學校,275.9871129318314,0.0,26.0,52987.0,0.006168446026097271,1377662.0,0.0,0,156.07407407407408,1.1542651372820463,營運中
5701,全家便利商店股份有限公司,臺北市,中正區,光復里,179530,309701,171990,217630,727,3950,96.0,98.0,3.0,捷運站,385.2994664636721,28.0,54.0,77082.0,0.01366742596810934,4162428.0,0.509090909090909,1,47.59036144578313,1.7250558399385065,廢止
6480,三商家購股份有限公司,臺北市,北投區,智仁里,231633,233324,227647,226700,494,5605,39.5,46.5,0.0,學校,723.4338588034367,0.0,7.0,16252.0,0.0012486621476988941,113764.0,0.0,0,700.625,1.0072959928162533,營運中
3039,三商家購股份有限公司,新北市,新店區,福德里,336985,305033,335622,323247,529,3726,51.0,63.5,5.0,醫院,143.4126854532622,0.0,31.0,24352.0,0.008317681781593774,754912.0,0.0,0,116.4375,0.9051800371528788,營運中
1531,全家便利商店股份有限公司,新北市,永和區,安和里,225926,165003,225638,209626,616,3790,84.0,82.0,3.0,醫院,171.02609495208418,8.0,25.0,36448.0,0.006594566077552097,911200.0,0.3076923076923077,1,111.47058823529412,0.7303376754438381,營運中
3934,統一超商股份有限公司,新北市,樹林區,南園里,186549,176578,187333,179473,774,16755,96.0,95.5,0.0,學校,569.1685968531759,3.0,9.0,27636.0,0.0005371210312723801,248724.0,0.3,1,1288.8461538461538,0.9465451621549182,營運中
3925,來來超商股份有限公司,新北市,樹林區,柑園里,186549,176578,187333,179473,776,11117,94.0,95.5,1.0,學校,67.24834650516593,0.0,7.0,28509.0,0.0006296096420219464,199563.0,0.0,1,1389.625,0.9465451621549182,廢止
1168,萊爾富國際股份有限公司,新北市,中和區,連城里,461867,397325,460394,432783,530,6265,88.5,88.0,1.0,醫院,427.831390760288,2.0,33.0,23471.0,0.005266517714650495,774543.0,0.058823529411764705,1,174.02777777777777,0.8602566101137121,廢止
4239,全家便利商店股份有限公司,新北市,鶯歌區,鳳鳴里,94412,86832,90389,85085,531,8071,80.0,91.0,2.0,學校,99.9250957983926,0.0,7.0,20856.0,0.000867195242814668,145992.0,0.0,1,1008.875,0.9197038543420927,營運中
5698,全家便利商店股份有限公司,臺北市,中正區,黎明里,179530,309701,171990,217630,759,3201,99.0,99.5,2.0,交通樞紐,160.37743657250735,31.0,57.0,59281.0,0.017801374141161775,3379017.0,0.5344827586206896,1,35.96629213483146,1.7250558399385065,營運中
2173,統一超商股份有限公司,新北市,板橋區,民安里,571963,464101,570948,541426,558,2040,49.5,63.0,5.0,學校,196.7300804384231,13.0,18.0,20250.0,0.008819206271435572,364500.0,0.6842105263157895,1,63.75,0.8114164527837416,營運中
3736,全家便利商店股份有限公司,新北市,新莊區,福基里,438175,374258,436655,417962,747,6379,76.5,81.5,1.0,學校,311.5920043563867,7.0,11.0,168242.0,0.0017241379310344827,1850662.0,0.5833333333333334,1,335.7368421052632,0.8541271087416928,營運中
